stay_up_late,pressure_level,coffee_consumed,brain_working_duration,school_assesssment,stress_level,shampoo_brand,swimming,hair_washing,hair_grease,dandruff,libido,hair_loss
1,Low,1,1,None,Low,Hair & Shoulder,Yes,Y,2,None,5,Medium
0,Low,1,0,None,Low,Hair & Shoulder,No,N,2,None,5,Medium
2,Low,1,2,None,Low,Hair & Shoulder,No,N,2,None,5,Medium
2,Low,0,2,None,Low,Hair & Shoulder,Yes,Y,1,None,1,Few
2,Low,0,0,None,Low,Hair & Shoulder,No,Y,3,None,1,Few
0,Low,0,1,None,Low,Hair & Shoulder,No,N,1,None,1,Few
0,Low,0,0,None,Low,Hair & Shoulder,Yes,Y,2,None,2,Few
2,Low,0,2,None,Low,Hair & Shoulder,No,N,2,None,3,Few
3,Low,1,1,None,Low,Hair & Shoulder,No,Y,1,None,2,Medium
3,Low,1,2,None,Low,Hair & Shoulder,Yes,Y,3,None,3,Medium
0,Low,0,2,None,Low,Hair & Shoulder,Yes,Y,3,None,3,Few
1,Low,0,1,None,Low,Hair & Shoulder,No,N,2,None,3,Few
3,Low,1,0,None,Low,Hair & Shoulder,No,N,2,None,4,Medium
3,Low,1,1,None,Low,Hair & Shoulder,Yes,Y,3,None,5,Medium
0,Low,1,3,None,Low,Hair & Shoulder,No,N,3,None,5,Medium
2,Low,1,0,None,Low,Hair & Shoulder,No,N,2,None,5,Medium
1,Low,1,3,None,Low,Hair & Shoulder,Yes,Y,1,None,5,Medium
2,Low,1,2,None,Low,Hair & Shoulder,Yes,Y,2,None,5,Medium
0,Low,0,1,None,Low,Hair & Shoulder,No,N,1,None,4,Few
0,Low,0,1,None,Low,Hair & Shoulder,No,Y,2,None,4,Few
2,Low,0,0,None,Low,Hair & Shoulder,Yes,Y,2,None,1,Few
1,Low,0,3,None,Low,Hair & Shoulder,No,N,1,None,1,Few
0,Low,0,2,None,Low,Hair & Shoulder,No,N,2,None,1,Few
0,Low,0,2,None,Low,Hair & Shoulder,Yes,Y,2,None,2,Few
1,Low,0,2,None,Low,Hair & Shoulder,Yes,Y,2,None,2,Few
1,Low,0,3,None,Low,Hair & Shoulder,No,N,2,None,3,Few
2,Low,0,1,None,Low,Hair & Shoulder,No,N,2,None,4,Few
1,Low,0,0,None,Low,Hair & Shoulder,Yes,Y,1,None,2,Few
1,Low,0,2,None,Low,Hair & Shoulder,No,N,2,None,2,Few
3,Low,1,0,None,Low,Hair & Shoulder,No,Y,2,None,3,Medium
2,Low,1,2,None,Low,Hair & Shoulder,Yes,Y,3,None,5,Medium
1,Low,1,0,None,Low,Hair & Shoulder,Yes,Y,1,None,5,Medium
2,Low,1,2,None,Low,Hair & Shoulder,No,N,2,None,5,Medium
1,Low,1,2,None,Low,Hair & Shoulder,No,N,1,None,5,Medium
1,Low,0,3,None,Low,Hair & Shoulder,Yes,Y,2,None,1,Few
1,Low,1,1,None,Low,Hair & Shoulder,No,N,2,None,5,Medium
0,Low,1,1,None,Low,Hair & Shoulder,No,N,2,None,5,Medium
1,Low,0,2,None,Low,Hair & Shoulder,Yes,Y,2,None,1,Few
